45000 45000
1 1 0
1 2 135
1 3 45
1 4 45
1 5 90
1 6 45
1 7 135
1 8 45
1 9 45
1 10 0
1 11 0
1 12 90
1 13 90
1 14 90
1 15 90
1 16 45
1 17 45
1 18 0
1 19 0
1 20 0
1 21 0
1 22 45
1 23 135
1 24 90
1 25 90
1 26 135
1 27 90
1 28 45
1 29 45
1 30 45
1 31 135
1 32 90
1 33 45
1 34 0
1 35 45
1 36 0
1 37 45
1 38 135
1 39 90
1 40 45
1 41 90
1 42 90
1 43 135
1 44 45
1 45 0
1 46 45
1 47 0
1 48 90
1 49 135
1 50 135
1 51 45
1 52 45
1 53 45
1 54 90
1 55 90
1 56 0
1 57 0
1 58 0
1 59 0
1 60 0
1 61 45
1 62 45
1 63 135
1 64 45
1 65 45
1 66 0
1 67 45
1 68 135
1 69 90
1 70 45
1 71 45
1 72 135
1 73 0
1 74 45
1 75 135
1 76 0
1 77 135
1 78 135
1 79 0
1 80 90
1 81 90
1 82 90
1 83 90
1 84 135
1 85 45
1 86 90
1 87 45
1 88 0
1 89 90
1 90 135
1 91 90
1 92 0
1 93 135
1 94 90
1 95 45
1 96 135
1 97 135
1 98 90
1 99 45
1 100 90
1 101 135
1 102 135
1 103 0
1 104 45
1 105 135
1 106 0
1 107 45
1 108 90
1 109 135
1 110 135
1 111 0
1 112 45
1 113 135
1 114 135
1 115 90
1 116 0
1 117 90
1 118 135
1 119 90
1 120 0
1 121 90
1 122 0
1 123 135
1 124 90
1 125 45
1 126 45
1 127 90
1 128 45
1 129 135
1 130 90
1 131 45
1 132 0
1 133 0
1 134 135
1 135 90
1 136 45
1 137 45
1 138 45
1 139 135
1 140 0
1 141 90
1 142 0
1 143 90
1 144 135
1 145 45
1 146 90
1 147 0
1 148 0
1 149 90
1 150 0
1 151 45
1 152 45
1 153 45
1 154 45
1 155 135
1 156 45
1 157 45
1 158 0
1 159 90
1 160 90
1 161 45
1 162 90
1 163 45
1 164 90
1 165 135
1 166 0
1 167 90
1 168 45
1 169 90
1 170 45
1 171 45
1 172 135
1 173 90
1 174 0
1 175 135
1 176 90
1 177 45
1 178 45
1 179 90
1 180 90
1 181 0
