300 300
110 147 90
223 236 90
85 161 45
260 147 135
35 157 0
173 4 135
186 250 135
106 227 90
206 165 90
158 60 90
21 37 0
282 214 135
67 256 45
120 48 135
240 209 135
130 152 90
98 283 135
91 286 90
6 127 0
4 183 90
230 63 45
273 228 135
250 229 45
33 273 45
199 1 0
158 255 0
247 120 135
98 131 0
58 110 135
181 93 135
140 67 45
240 84 0
281 59 0
277 249 45
60 137 90
137 283 0
73 133 0
125 278 45
6 105 90
153 287 0
107 244 135
13 85 45
17 262 135
294 129 0
75 210 0
25 210 45
214 72 135
276 203 135
143 133 0
198 139 135
91 156 45
295 180 90
227 64 90
112 176 45
191 61 135
42 219 45
103 81 135
258 137 90
183 163 0
116 240 135
279 101 45
6 115 90
113 290 45
204 234 135
1 204 90
217 247 45
104 296 45
103 231 90
118 247 90
55 103 0
255 59 0
243 171 45
55 95 0
168 91 90
285 264 0
92 60 0
215 272 90
248 16 0
195 224 90
151 64 0
220 5 90
268 194 45
20 238 45
190 77 0
100 123 90
45 198 90
80 227 45
17 232 0
26 277 90
203 45 45
6 219 0
267 76 45
133 238 0
269 14 135
167 289 90
52 39 45
173 247 0
270 246 135
279 184 0
113 75 0
239 207 0
254 179 0
273 248 0
70 79 90
125 119 0
83 61 135
251 3 90
110 143 0
53 144 0
92 76 0
5 109 45
297 77 90
145 66 135
112 297 45
169 73 90
85 258 135
247 236 45
16 77 90
259 231 0
183 61 135
76 126 0
54 88 90
299 127 135
212 87 45
15 127 90
193 160 0
105 58 90
176 96 45
6 55 90
171 12 135
111 7 45
122 178 90
23 234 135
79 151 135
34 167 0
21 62 0
147 8 90
153 253 135
128 256 135
93 159 135
39 179 135
183 4 135
202 83 45
72 184 45
273 27 135
113 282 45
156 66 135
14 113 90
82 159 90
179 26 0
101 279 45
100 96 90
201 252 0
80 126 0
15 278 0
108 189 45
119 159 0
45 89 45
190 272 45
188 10 45
123 192 90
103 203 135
175 247 45
147 205 45
18 36 0
185 23 45
231 66 45
163 79 45
293 52 45
21 24 135
125 214 135
82 32 135
282 225 0
3 222 0
230 47 90
108 198 45
246 156 90
121 196 0
114 229 45
82 242 90
113 236 0
211 92 45
197 191 90
267 222 45
215 98 135
194 226 0
150 18 45
113 216 90
87 76 45
215 173 0
178 68 45
226 102 90
84 142 45
61 8 135
257 178 45
194 33 0
78 93 45
201 234 0
113 234 45
125 108 0
96 157 135
36 15 45
70 4 135
226 79 135
60 22 45
175 120 135
99 218 45
107 250 45
90 257 45
217 110 135
46 4 0
166 91 0
257 187 90
9 109 90
112 195 90
34 236 0
145 114 45
45 244 0
212 157 90
75 187 45
296 128 0
32 21 90
51 258 0
181 239 45
133 233 90
9 125 90
253 97 135
27 233 45
122 15 45
193 3 90
62 166 0
228 176 135
1 165 0
204 207 135
114 207 90
282 236 135
141 237 135
80 235 90
265 74 0
257 67 45
65 243 45
173 17 90
250 198 45
201 292 90
4 116 135
243 29 45
277 107 0
263 298 0
24 217 135
90 163 90
84 44 135
219 68 45
112 266 135
163 257 0
21 23 0
260 231 0
59 55 90
278 18 135
45 211 135
194 184 0
254 59 0
265 176 45
45 134 135
74 108 135
170 77 90
15 96 0
131 138 0
270 234 0
270 271 90
99 157 90
277 246 45
277 38 90
281 162 90
196 187 90
249 78 45
193 285 135
117 167 135
155 255 0
183 221 90
130 115 135
65 217 45
220 6 45
53 186 90
195 278 45
285 4 90
239 57 135
41 185 135
211 299 45
231 60 135
245 62 45
242 173 45
173 286 90
40 103 90
175 208 0
124 42 0
6 102 90
209 23 90
119 161 45
147 189 0
12 159 135
212 141 45
81 30 0
174 225 90
112 133 0
197 203 45
261 243 45
33 268 45
183 274 90
167 258 135
271 150 45
226 131 0
272 254 90
69 172 90
77 79 135
118 74 135
119 293 45
284 57 90
227 212 135
33 133 90
295 186 135
189 269 0
247 96 90
132 38 45
126 229 0
128 233 90
23 11 45
137 15 0
217 227 0
300 10 45
60 40 45
292 85 0
88 241 90
172 94 45
41 254 0
150 176 135
241 278 0
208 266 45
261 84 135
134 14 135
136 224 45
59 156 45
232 267 135
219 278 0
241 265 45
137 172 0
133 229 90
291 87 135
267 117 135
249 289 135
195 275 135
235 31 45
262 54 45
167 293 90
125 193 135
294 38 0
98 74 135
84 209 0
29 258 0
130 47 45
139 89 0
46 44 45
119 14 0
125 156 45
155 74 45
159 90 90
33 270 135
203 65 45
289 158 135
202 124 45
176 235 90
203 224 45
182 24 0
48 228 45
123 59 90
277 166 0
196 229 0
164 155 0
172 280 0
175 279 135
16 31 90
233 297 0
161 234 90
182 134 45
116 43 90
232 198 90
143 118 0
48 74 135
121 296 90
79 177 0
253 247 0
140 166 90
290 131 90
89 67 90
264 24 135
77 205 90
232 153 135
36 12 90
22 64 135
213 230 90
101 298 0
235 124 90
112 90 90
75 93 135
47 181 135
229 110 0
245 10 135
175 33 45
243 266 90
19 168 0
117 171 135
108 17 45
168 76 90
234 92 90
264 150 135
149 22 135
234 82 135
38 64 90
119 256 90
225 37 90
30 46 45
232 274 90
42 165 0
141 53 0
197 72 90
143 185 90
298 255 135
196 151 135
125 222 45
185 285 0
114 269 90
252 143 135
85 285 90
6 226 135
