5 5000
248 86 135
151 143 135
82 78 135
221 55 45
131 245 90
41 250 0
66 298 0
109 135 90
117 65 135
206 158 0
113 84 90
36 8 135
17 29 90
294 253 90
219 234 90
200 164 0
57 249 90
19 247 45
99 222 0
146 192 90
170 297 45
180 83 135
171 298 0
291 278 45
97 31 90
290 79 90
115 56 45
222 48 90
121 300 135
106 261 90
10 146 0
100 14 0
119 271 45
10 209 45
285 243 90
175 243 0
143 8 0
273 150 45
243 47 45
85 222 0
135 297 45
295 175 0
160 80 45
207 94 45
10 8 45
182 106 0
271 212 135
7 49 90
104 53 135
35 219 135
111 279 0
29 124 45
132 110 90
93 166 90
248 161 0
110 280 90
184 22 0
17 254 90
145 110 0
291 198 45
214 126 90
176 93 45
135 67 45
244 38 135
255 74 45
233 35 0
78 124 0
239 157 90
25 98 0
93 34 135
169 232 0
275 61 45
18 95 90
19 114 135
284 164 135
199 222 135
146 158 45
298 85 135
22 162 0
128 138 135
239 210 0
82 246 45
27 178 45
52 23 0
291 249 45
241 75 90
194 131 90
23 99 135
18 255 45
181 91 90
159 93 135
199 143 0
160 299 0
92 49 90
160 19 135
189 151 135
252 15 0
100 295 90
236 92 135
282 168 0
260 246 135
212 14 90
299 99 45
24 89 0
226 249 90
43 243 135
241 190 0
265 150 135
172 25 45
281 260 45
1 178 0
49 79 90
160 244 0
291 110 90
259 16 135
26 101 0
262 43 0
36 297 90
160 93 0
281 134 0
12 177 0
242 184 135
268 167 45
65 250 90
89 6 45
163 86 90
273 207 90
289 145 0
47 3 90
198 152 45
106 48 135
277 232 90
64 10 135
284 11 45
272 72 135
285 232 90
278 191 0
10 44 90
272 45 90
12 161 45
28 102 135
266 38 0
253 273 90
55 176 135
235 198 135
115 274 45
187 185 0
41 281 0
215 62 135
100 157 90
297 256 0
177 297 45
218 72 45
72 16 45
260 84 45
151 142 135
4 205 90
214 209 90
277 48 90
145 286 0
27 19 90
298 270 45
54 257 0
235 110 90
294 219 135
119 132 45
191 182 135
