15000 3000
266 40 135
203 200 45
36 105 90
277 180 90
162 213 90
298 30 135
171 10 0
142 48 135
228 121 90
178 236 90
296 219 135
130 156 90
157 72 135
191 64 45
257 80 135
298 43 0
287 3 135
149 241 90
172 91 0
170 176 0
22 254 90
197 211 0
58 222 90
123 87 0
130 260 135
260 266 90
171 39 135
164 210 90
6 151 90
221 50 135
25 210 135
143 74 135
132 241 90
56 225 0
270 140 90
112 72 0
92 118 90
70 56 0
78 51 0
203 36 90
215 192 0
99 95 0
299 25 0
62 151 90
32 200 0
251 103 90
258 212 135
27 92 0
291 233 0
140 289 90
145 207 135
198 186 90
133 289 90
237 85 0
175 152 0
248 292 0
227 223 90
261 180 45
172 101 45
69 16 135
107 108 135
256 136 45
104 173 135
13 268 135
214 47 135
60 134 0
52 100 90
194 114 0
232 192 90
192 203 45
282 224 90
255 68 0
202 18 90
67 166 45
74 94 45
287 127 90
213 207 135
105 19 45
98 244 0
109 22 135
228 148 45
252 296 135
291 58 135
3 254 0
278 161 0
138 38 90
49 14 90
15 284 45
222 67 0
117 141 135
216 266 0
68 244 135
187 286 90
35 15 45
208 77 0
266 251 90
286 235 90
139 253 135
231 55 90
257 282 45
274 144 0
270 10 0
18 272 0
177 5 90
113 58 45
20 217 90
14 244 0
155 212 135
131 42 135
143 232 45
288 267 90
26 37 45
123 89 135
139 273 135
108 201 90
204 196 90
275 182 135
19 128 90
179 201 90
68 178 135
278 291 90
288 78 0
171 46 90
133 207 0
7 254 90
171 162 0
290 100 0
96 247 45
187 75 45
55 130 45
234 203 90
88 2 135
270 172 45
185 48 45
288 12 135
248 86 0
197 95 90
66 273 45
259 90 0
124 123 45
183 144 0
23 19 135
82 177 45
135 24 90
113 214 45
270 89 45
88 226 90
56 72 135
112 163 90
33 90 135
99 264 90
260 259 135
165 278 45
106 58 45
66 163 135
136 167 135
190 128 0
180 78 0
167 272 0
159 29 45
178 267 135
220 23 0
48 188 45
201 52 45
63 45 45
196 94 0
293 57 0
141 139 135
175 130 135
243 21 45
197 107 135
34 99 45
243 267 45
227 82 0
88 54 45
253 141 0
218 220 0
174 24 135
133 238 90
266 85 135
206 184 45
181 32 0
111 12 90
267 193 90
247 256 45
124 108 45
249 150 135
56 291 45
276 136 135
203 282 90
188 170 45
289 246 90
238 107 135
24 185 135
267 105 90
136 178 90
73 23 135
108 143 135
179 5 90
141 145 45
10 260 135
118 236 45
42 165 0
66 278 135
198 158 90
264 134 135
236 285 135
122 275 135
258 130 90
67 103 45
150 186 135
8 282 135
33 125 0
109 94 0
226 27 135
99 277 90
4 46 0
68 123 45
156 290 0
82 244 45
244 262 0
278 206 45
197 220 45
136 271 45
157 180 135
248 220 90
220 114 135
198 209 0
144 107 135
178 132 0
49 264 0
159 267 0
245 165 90
284 168 90
246 167 135
115 299 90
100 164 90
107 275 45
284 72 135
137 185 135
234 23 45
213 209 0
216 162 0
189 282 135
48 171 45
115 95 135
190 210 90
4 172 135
81 233 135
80 161 135
131 178 135
5 268 45
73 57 135
135 187 45
133 36 135
194 183 0
164 163 90
158 284 90
103 277 90
189 202 45
2 173 135
293 177 90
44 205 45
49 176 90
214 228 90
206 122 0
238 113 45
129 300 45
232 173 45
28 171 90
173 149 135
15 181 45
158 177 45
240 152 45
195 211 45
7 203 0
153 72 45
212 292 45
235 284 90
47 194 45
5 117 90
94 281 45
171 160 0
190 15 135
158 122 0
150 71 45
240 180 90
158 1 45
4 274 90
21 181 45
145 225 135
163 257 135
31 153 45
252 28 135
205 138 45
69 23 45
10 51 45
173 263 135
224 250 135
31 193 45
56 81 45
34 163 0
159 87 45
40 39 45
99 104 45
95 210 0
280 21 135
161 15 0
178 69 135
287 139 0
172 151 90
24 225 0
241 123 0
208 205 0
244 72 0
176 31 90
207 12 90
133 61 45
234 268 0
9 251 135
40 247 90
92 148 90
87 141 0
243 38 0
266 24 45
42 290 45
201 149 0
288 262 90
189 260 135
196 271 0
273 50 0
207 300 90
49 266 90
190 188 90
41 185 135
289 296 135
146 59 0
106 218 0
173 279 0
206 54 135
205 299 135
181 208 45
47 163 135
43 110 135
127 57 0
231 189 90
112 77 90
285 223 135
273 225 45
51 209 90
74 150 45
276 58 135
181 24 0
264 108 135
225 136 45
89 163 45
143 226 90
187 30 0
272 107 0
29 61 45
177 140 45
181 170 90
211 57 0
284 294 135
48 137 135
5 250 0
287 183 45
229 280 45
16 48 135
41 106 90
169 221 90
155 227 45
37 58 45
